Action	fasta_ID	IMS_ID	Group	Date	other_metadata
a	V2532	IMS-10294-CVDP-508e04da-094d-471e-8331-2d81e1731a85	Bakground		
a	V2533	IMS-10294-CVDP-191c78b1-8f3a-4f52-a996-e0c4c721c60d	Bakground		
a	V2546	IMS-10294-CVDP-3dc9ca89-02e6-46ff-96fd-070ee35a8107	Bakground		
a	V2143	IMS-10294-CVDP-a1436c61-9702-4e8f-a4f8-a2b76dc6415b	Bakground		
a	V2551	IMS-10294-CVDP-037d8f4f-0782-460a-b639-f1c02bc66a8c	Bakground		
a	V2563	IMS-10294-CVDP-eb41af16-800f-4bfe-a1b8-aa093661c697	Bakground		
a	V2568	IMS-10294-CVDP-62709e0b-e988-4484-9708-b66f82e7c2eb	Bakground		
a	V2570	IMS-10294-CVDP-d50d1c91-4ded-4272-962f-dd401d89d047	Bakground		
a	V2579	IMS-10294-CVDP-bb0d577c-bb94-4292-963a-0b6ffa6a8197	Bakground		
a	V2581	IMS-10294-CVDP-040d4bee-71a2-4f43-b7fe-2866f5685ca6	Bakground		
a	V2584	IMS-10294-CVDP-98f8a595-8770-4eaa-ac73-d740a5a16f96	Bakground		
a	V2586	IMS-10294-CVDP-0505b347-5711-4920-9279-f0be3c1a0f53	Bakground		
a	V2587	IMS-10294-CVDP-f7e32b5a-be02-4ab5-90c7-259da35c31fd	Bakground		
a	V2589	IMS-10294-CVDP-0a840332-c063-43bb-814b-3336e50e9ee4	Bakground		
a	V2602	IMS-10294-CVDP-25eb3156-0cb1-443b-9afe-20fcf7e70c63	Bakground		
a	V2603	IMS-10294-CVDP-1e9fbffa-d4f2-4537-b55d-251e7010d135	Bakground		
a	V2606	IMS-10294-CVDP-c640410a-5d9d-46ee-a9ea-009b6d0f4df3	Bakground		
a	V2608	IMS-10294-CVDP-26212a7b-cc31-4a5a-ba84-cad17f12a843	Bakground		
a	V2609	IMS-10294-CVDP-c77f519f-d337-4a95-a095-eb6c7e7ef6ab	Bakground		
a	V2610	IMS-10294-CVDP-1fd3a976-c0ef-4edf-b1cd-e088ea076707	Bakground		
a	V2612	IMS-10294-CVDP-f9eb139e-d5f4-43a1-b3e3-3ac1721b9efe	Bakground		
a	V2614	IMS-10294-CVDP-79d7ce95-1333-469c-a0c2-0d4d65a0817d	Bakground		
a	V2616	IMS-10294-CVDP-af1e6371-184a-4a57-bd38-051f98ce76a5	Bakground		
a	V2617	IMS-10294-CVDP-4a466291-3555-4bf3-9ae0-ca6432972a95	Bakground		
a	V2618	IMS-10294-CVDP-2ccf7916-c7ba-4f41-b055-58de6944e379	Bakground		
